Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
GOLM1	ENSG00000135052.16	22.400	5.695	1.805	7.37e-18
SDS	ENSG00000135094.10	58.318	343.496	-2.538	1.03e-11
GLS2	ENSG00000135423.12	7.550	64.115	-2.929	2.16e-23
TROAP	ENSG00000135451.12	6.690	0.325	2.537	3.39e-57
PAN2	ENSG00000135473.14	13.250	46.264	-1.730	5.37e-17
HNRNPA1	ENSG00000135486.17	363.698	146.569	1.305	6.58e-44
GNS	ENSG00000135677.10	30.759	13.590	1.122	3.96e-38
NTPCR	ENSG00000135778.11	54.161	16.505	1.656	2.67e-68
GLUL	ENSG00000135821.16	323.024	144.037	1.160	5.79e-11
PIGC	ENSG00000135845.9	22.070	6.605	1.601	1.92e-71
LAMC1	ENSG00000135862.5	26.829	5.775	2.038	2.21e-43
STAB2	ENSG00000136011.14	0.080	3.505	-2.060	1.98e-103
GPNMB	ENSG00000136235.15	12.740	3.525	1.602	4.77e-17
RAC1	ENSG00000136238.17	116.994	54.913	1.077	8.53e-51
RTP4	ENSG00000136514.2	5.180	1.725	1.181	3.68e-22
MRPL47	ENSG00000136522.13	30.300	14.075	1.054	8.16e-49
EPRS	ENSG00000136628.17	37.111	13.560	1.388	2.11e-61
UGGT1	ENSG00000136731.12	14.170	5.615	1.197	1.62e-43
TXN	ENSG00000136810.12	347.458	121.873	1.504	1.17e-50
RPS6	ENSG00000137154.12	1117.066	553.925	1.011	2.75e-32
YIPF3	ENSG00000137207.11	100.002	47.349	1.063	3.77e-55
TMEM14B	ENSG00000137210.13	75.572	32.725	1.183	2.85e-60
TUBB2A	ENSG00000137267.5	60.170	28.979	1.029	8.62e-16
LRRC1	ENSG00000137269.14	2.350	0.340	1.322	2.45e-27
UQCC2	ENSG00000137288.9	98.373	32.169	1.583	7.45e-74
HMGA1	ENSG00000137309.19	36.319	6.900	2.240	8.96e-51
TCF19	ENSG00000137310.11	4.270	0.440	1.872	6.76e-47
NRM	ENSG00000137404.14	8.470	2.630	1.383	1.91e-38
MYO7A	ENSG00000137474.19	4.790	10.680	-1.012	2.15e-13
MRPL15	ENSG00000137547.8	50.699	24.155	1.039	2.07e-40
GGH	ENSG00000137563.11	121.852	51.186	1.235	1.99e-17
SORL1	ENSG00000137642.12	6.550	15.000	-1.084	1.74e-23
NUSAP1	ENSG00000137804.12	8.310	1.675	1.799	2.72e-40
KIF23	ENSG00000137807.13	1.480	0.190	1.059	7.83e-31
RPLP1	ENSG00000137818.11	1491.242	599.659	1.313	5.50e-68
ITPKA	ENSG00000137825.10	3.460	0.555	1.520	3.00e-30
RPL7P9	ENSG00000137970.7	28.391	9.160	1.533	1.79e-48
SLC3A1	ENSG00000138079.13	0.660	2.480	-1.068	4.67e-3
LOXL4	ENSG00000138131.3	3.580	0.720	1.413	6.30e-8
OIT3	ENSG00000138315.12	2.660	15.075	-2.135	1.80e-52
RPS24	ENSG00000138326.18	1646.514	799.358	1.042	1.33e-38
METTL5	ENSG00000138382.13	34.820	15.849	1.088	4.15e-61
OLA1	ENSG00000138430.15	40.941	16.146	1.291	2.43e-44
UBL7	ENSG00000138629.15	29.531	12.445	1.183	4.75e-68
FAM13A	ENSG00000138640.14	3.100	15.240	-1.986	1.03e-33
RASGEF1B	ENSG00000138670.16	4.630	11.450	-1.145	8.14e-25
LEF1	ENSG00000138795.9	2.670	0.290	1.508	8.05e-29
PAPSS1	ENSG00000138801.8	6.500	2.495	1.102	1.33e-25
MAPK8IP3	ENSG00000138834.12	5.620	18.720	-1.575	5.30e-8
ZCRB1	ENSG00000139168.7	33.481	15.205	1.089	1.97e-48
RPL14P1	ENSG00000139239.7	9.550	3.850	1.121	3.84e-40
SNRPF	ENSG00000139343.10	27.971	13.225	1.026	4.38e-44
FAM222A	ENSG00000139438.5	4.250	1.125	1.305	9.68e-36
SLC46A3	ENSG00000139508.14	11.350	23.705	-1.000	1.20e-15
SLC39A5	ENSG00000139540.11	52.399	108.891	-1.041	3.77e-11
RDH16	ENSG00000139547.7	39.609	193.762	-2.262	4.68e-32
NABP2	ENSG00000139579.12	19.380	7.770	1.217	5.42e-57
N4BP2L1	ENSG00000139597.16	12.220	28.050	-1.136	5.56e-34
VPS33A	ENSG00000139719.9	7.390	3.075	1.042	3.20e-40
SLAIN1	ENSG00000139737.21	0.630	2.575	-1.133	7.08e-22
FITM1	ENSG00000139914.6	1.310	7.180	-1.824	3.99e-55
SLC38A6	ENSG00000139974.15	6.790	2.240	1.266	5.55e-61
SLC25A47	ENSG00000140107.10	13.850	213.567	-3.853	3.91e-45
GTF2A2	ENSG00000140307.10	61.158	26.395	1.182	1.28e-61
SRP14	ENSG00000140319.10	253.474	113.165	1.156	1.94e-66
UBE2Q2	ENSG00000140367.11	5.680	2.010	1.150	1.86e-21
NEIL1	ENSG00000140398.13	8.760	20.924	-1.168	1.85e-11
FANCI	ENSG00000140525.17	3.080	0.565	1.382	1.22e-44
OSGIN1	ENSG00000140961.12	89.492	40.993	1.108	1.48e-8
SKAP1	ENSG00000141293.15	7.370	17.729	-1.162	9.64e-12
PTRH2	ENSG00000141378.14	27.851	13.168	1.026	6.31e-49
SLC13A5	ENSG00000141485.15	60.400	161.954	-1.408	6.58e-20
SECTM1	ENSG00000141574.7	5.340	2.085	1.039	4.35e-19
RNF157	ENSG00000141576.14	3.300	0.580	1.444	5.21e-26
RNF165	ENSG00000141622.13	0.160	1.530	-1.125	1.29e-60
P3H4	ENSG00000141696.12	3.910	1.290	1.100	3.48e-29
SAMD1	ENSG00000141858.11	17.890	7.820	1.099	1.55e-40
SLC39A3	ENSG00000141873.10	29.300	11.910	1.231	6.69e-58
SIK1	ENSG00000142178.7	1.570	4.180	-1.011	6.29e-7
SAE1	ENSG00000142230.11	33.261	12.505	1.343	1.26e-52
TM4SF5	ENSG00000142484.6	200.310	92.641	1.104	3.90e-9
RPS11	ENSG00000142534.6	1591.310	734.489	1.114	3.62e-54
SH3BGRL3	ENSG00000142669.13	70.629	32.565	1.094	7.00e-26
FCN3	ENSG00000142748.12	2.320	67.300	-4.363	1.37e-68
HSPG2	ENSG00000142798.16	22.611	8.685	1.286	9.63e-24
ITGB3BP	ENSG00000142856.16	8.560	3.155	1.202	6.97e-46
KIF2C	ENSG00000142945.12	2.210	0.170	1.456	6.33e-43
SLC44A3	ENSG00000143036.16	6.790	1.630	1.567	4.44e-26
TIPRL	ENSG00000143155.12	13.950	6.325	1.029	5.64e-42
MPC2	ENSG00000143158.10	279.053	110.929	1.323	4.12e-61
UCK2	ENSG00000143179.12	18.220	6.000	1.457	5.06e-48
TMCO1	ENSG00000143183.16	124.940	41.106	1.581	1.55e-60
RFWD2	ENSG00000143207.19	30.789	12.060	1.283	9.26e-68
UFC1	ENSG00000143222.11	97.497	33.145	1.528	7.85e-76
NUF2	ENSG00000143228.12	2.480	0.130	1.623	8.54e-46
RGS5	ENSG00000143248.12	18.010	4.010	1.924	2.20e-34
PFDN2	ENSG00000143256.4	104.959	42.964	1.269	3.23e-57
PRCC	ENSG00000143294.14	41.280	15.355	1.370	7.36e-76
MRPL24	ENSG00000143314.12	161.735	54.922	1.541	2.07e-75
LYPLAL1	ENSG00000143353.11	36.221	14.405	1.273	2.19e-48
SF3B4	ENSG00000143368.9	35.839	10.790	1.644	1.44e-68
ZNF687	ENSG00000143373.17	11.880	4.360	1.265	3.11e-45
RFX5	ENSG00000143390.17	10.550	3.490	1.363	4.80e-36
MRPL9	ENSG00000143436.10	49.261	19.215	1.314	1.94e-66
GOLPH3L	ENSG00000143457.10	9.310	3.605	1.163	6.65e-38
SMYD2	ENSG00000143499.13	30.199	12.820	1.175	1.71e-33
SUSD4	ENSG00000143502.14	3.920	1.295	1.100	1.23e-8
TP53BP2	ENSG00000143514.16	12.890	4.945	1.224	1.25e-22
S100A8	ENSG00000143546.9	3.420	29.025	-2.764	1.36e-39
TPM3	ENSG00000143549.19	124.154	46.160	1.408	3.43e-50
SNAPIN	ENSG00000143553.10	32.479	15.445	1.026	1.25e-54
SLC39A1	ENSG00000143570.17	72.098	29.340	1.269	8.80e-45
HAX1	ENSG00000143575.14	107.328	46.864	1.178	6.03e-70
ILF2	ENSG00000143621.16	80.991	27.020	1.549	3.65e-67
SRP9	ENSG00000143742.12	168.685	79.500	1.076	2.63e-44
PARP1	ENSG00000143799.12	36.990	15.685	1.187	1.12e-34
PSEN2	ENSG00000143801.16	14.100	6.110	1.087	1.08e-31
PYCR2	ENSG00000143811.16	40.649	18.060	1.128	1.26e-48
EPHX1	ENSG00000143819.12	1532.848	505.370	1.599	2.23e-17
PDIA6	ENSG00000143870.12	159.155	77.753	1.024	3.64e-27
FBLN7	ENSG00000144152.12	6.200	2.045	1.242	1.89e-27
TRPM8	ENSG00000144481.16	4.060	10.085	-1.131	5.06e-12
FANCD2	ENSG00000144554.10	2.680	0.595	1.206	8.55e-35
FAM198A	ENSG00000144649.8	0.360	3.950	-1.864	4.73e-34
RPL32	ENSG00000144713.12	1338.312	560.083	1.255	1.99e-50
RP11-977G19.10	ENSG00000144785.8	1.010	0.000	1.007	1.70e-11
NFKBIZ	ENSG00000144802.11	3.850	18.334	-1.995	1.07e-34
NR1I2	ENSG00000144852.16	9.260	30.295	-1.609	2.22e-27
PLAC8	ENSG00000145287.10	1.030	5.975	-1.781	4.43e-28
NDUFS6	ENSG00000145494.11	89.120	35.605	1.300	6.13e-68
RPL37	ENSG00000145592.13	1566.576	594.465	1.396	2.08e-66
TSLP	ENSG00000145777.14	0.330	2.100	-1.221	2.45e-42
NHP2	ENSG00000145912.8	99.332	37.635	1.377	6.68e-71
TBC1D7	ENSG00000145979.17	15.920	6.430	1.187	8.27e-60
ZMAT2	ENSG00000146007.10	48.509	23.279	1.028	1.50e-47
HIGD2A	ENSG00000146066.2	145.804	67.002	1.110	1.48e-68
FAM193B	ENSG00000146067.15	17.130	46.951	-1.403	3.06e-4
TNFRSF21	ENSG00000146072.6	5.450	2.020	1.095	5.04e-13
PRIM2	ENSG00000146143.17	4.040	1.060	1.291	2.40e-57
NFKBIE	ENSG00000146232.14	11.850	4.040	1.350	4.40e-28
RSPO3	ENSG00000146374.13	0.060	1.570	-1.278	2.81e-43
IGFBP3	ENSG00000146674.14	49.428	164.471	-1.714	1.52e-24
PSPH	ENSG00000146733.13	8.690	2.705	1.387	2.07e-35
TMEM209	ENSG00000146842.16	5.270	2.015	1.056	2.42e-34
NCAPG2	ENSG00000146918.19	2.930	0.895	1.052	3.71e-28
TMEM27	ENSG00000147003.5	1.030	7.240	-2.021	5.51e-33
GPC3	ENSG00000147257.13	148.158	0.920	6.280	6.38e-59
SLC25A37	ENSG00000147454.13	4.400	12.924	-1.367	8.04e-34
RPL7	ENSG00000147604.13	1178.470	467.589	1.332	4.79e-43
POLR2K	ENSG00000147669.10	55.819	19.015	1.505	8.99e-80
NDUFB9	ENSG00000147684.7	377.752	144.862	1.377	2.15e-64
TATDN1	ENSG00000147687.16	22.869	8.720	1.296	7.80e-54
RP11-35N6.1	ENSG00000148123.14	3.710	1.305	1.031	1.27e-21
GSN	ENSG00000148180.16	85.882	37.655	1.168	6.32e-15
LCN2	ENSG00000148346.11	38.101	5.525	2.583	1.58e-13
MKI67	ENSG00000148773.12	2.900	0.170	1.737	6.18e-46
RGS10	ENSG00000148908.14	7.600	1.915	1.561	4.08e-31
SAA4	ENSG00000148965.8	251.479	770.846	-1.612	7.75e-21
PAMR1	ENSG00000149090.11	0.700	2.855	-1.181	6.04e-24
GLYAT	ENSG00000149124.10	35.370	138.764	-1.942	3.66e-18
SERPINH1	ENSG00000149257.13	37.121	15.610	1.199	5.16e-20
ST14	ENSG00000149418.10	8.050	2.715	1.285	2.33e-11
PLCH2	ENSG00000149527.17	0.570	2.500	-1.157	6.00e-3
TMEM25	ENSG00000149582.15	2.850	7.290	-1.107	1.37e-21
FAU	ENSG00000149806.10	796.206	363.206	1.130	2.00e-62
TM7SF2	ENSG00000149809.14	103.407	41.026	1.313	3.57e-16
TMCO3	ENSG00000150403.17	15.330	5.335	1.366	1.16e-24
LYPD1	ENSG00000150551.10	2.340	0.225	1.447	3.30e-24
GPM6A	ENSG00000150625.16	0.160	1.640	-1.186	9.84e-45
PRSS53	ENSG00000151006.7	0.230	4.550	-2.174	2.46e-52
MAT1A	ENSG00000151224.12	220.907	484.649	-1.130	7.57e-19
THRSP	ENSG00000151365.2	6.270	72.531	-3.338	4.00e-20
NDUFC2	ENSG00000151366.12	323.853	140.872	1.195	2.15e-56
ITIH2	ENSG00000151655.17	623.739	212.342	1.550	1.81e-9
TMEM45B	ENSG00000151715.7	29.900	8.100	1.764	7.97e-11
TDO2	ENSG00000151790.8	76.478	213.996	-1.472	1.71e-17
GEMIN6	ENSG00000152147.10	11.220	5.080	1.007	7.82e-55
HAUS1	ENSG00000152240.12	8.630	3.675	1.043	4.37e-37
SPC25	ENSG00000152253.8	2.110	0.160	1.423	3.18e-47
SPARCL1	ENSG00000152583.12	19.100	4.845	1.782	1.87e-22
GJA1	ENSG00000152661.7	4.230	1.415	1.115	3.08e-18
GGPS1	ENSG00000152904.11	12.930	5.865	1.021	4.77e-50
RASSF3	ENSG00000153179.11	6.270	2.210	1.179	1.48e-21
SLC25A27	ENSG00000153291.15	2.230	11.030	-1.897	7.15e-23
FAM49B	ENSG00000153310.18	17.579	7.295	1.163	1.50e-28
LINC00467	ENSG00000153363.12	10.370	4.585	1.026	1.15e-42
THY1	ENSG00000154096.13	20.420	1.995	2.838	1.97e-62
FAM134B	ENSG00000154153.13	2.320	9.124	-1.609	1.44e-17
TCEB1	ENSG00000154582.16	67.911	26.575	1.321	2.54e-55
LY96	ENSG00000154589.6	8.450	3.375	1.111	7.04e-14
SKA1	ENSG00000154839.9	1.330	0.040	1.164	7.50e-40
ZCCHC10	ENSG00000155329.11	18.150	8.210	1.056	1.41e-57
RHOC	ENSG00000155366.16	174.755	63.284	1.451	4.75e-51
KDM8	ENSG00000155666.11	5.660	45.724	-2.811	9.08e-45
VBP1	ENSG00000155959.10	18.290	8.530	1.017	3.50e-39
NAT2	ENSG00000156006.4	2.280	27.324	-3.110	1.07e-60
SLC28A1	ENSG00000156222.11	8.970	30.939	-1.680	7.70e-22
UQCRB	ENSG00000156467.9	349.269	129.912	1.420	4.17e-69
RPL30	ENSG00000156482.10	1964.708	654.091	1.585	1.70e-64
HKDC1	ENSG00000156510.12	8.110	1.010	2.180	3.33e-23
UTP14A	ENSG00000156697.12	7.050	2.750	1.102	2.94e-44
WDYHV1	ENSG00000156795.6	8.960	3.605	1.113	2.23e-42
FBXO32	ENSG00000156804.7	4.230	1.220	1.236	3.93e-29
NSMCE2	ENSG00000156831.7	20.920	5.565	1.739	4.91e-85
PDE6D	ENSG00000156973.13	11.730	5.080	1.066	9.55e-46
NRG1	ENSG00000157168.18	0.450	2.870	-1.416	1.20e-10
MMP14	ENSG00000157227.12	15.000	5.000	1.415	6.88e-21
SLC35B2	ENSG00000157593.16	32.739	13.990	1.170	4.34e-43
TMEM164	ENSG00000157600.11	2.590	0.780	1.012	5.00e-28
PSMG3	ENSG00000157778.8	31.519	11.920	1.332	7.20e-62
KRTCAP3	ENSG00000157992.12	1.410	6.480	-1.634	1.47e-4
MRPL17	ENSG00000158042.8	33.910	14.065	1.212	5.09e-61
FANCC	ENSG00000158169.11	2.860	7.004	-1.052	1.14e-24
TAGLN2	ENSG00000158710.14	252.545	76.164	1.716	3.34e-43
SLAMF8	ENSG00000158714.10	2.050	0.415	1.108	2.94e-20
OR10J6P	ENSG00000158731.2	0.620	5.620	-2.031	6.99e-38
FAM160B2	ENSG00000158863.21	9.280	22.195	-1.174	1.12e-7
MIS18A	ENSG00000159055.3	4.360	1.595	1.047	1.36e-38
STC1	ENSG00000159167.11	2.250	0.325	1.294	2.19e-22
RCAN1	ENSG00000159200.17	17.179	48.371	-1.441	5.50e-43
SNF8	ENSG00000159210.9	88.101	39.810	1.127	1.69e-58
PSMD4	ENSG00000159352.15	242.576	78.784	1.610	2.53e-79
PSMB4	ENSG00000159377.10	347.073	134.526	1.361	3.11e-83
UROC1	ENSG00000159650.8	3.890	38.638	-3.019	9.88e-33
SPON2	ENSG00000159674.11	94.851	45.069	1.057	1.97e-17
TPPP3	ENSG00000159713.10	4.090	1.460	1.049	3.36e-13
G6PD	ENSG00000160211.15	9.900	2.875	1.492	1.33e-28
SPATC1L	ENSG00000160284.14	3.810	0.410	1.770	3.21e-38
FCN2	ENSG00000160339.15	0.280	30.658	-4.628	2.54e-103
GPSM1	ENSG00000160360.11	3.670	1.165	1.109	1.63e-18
TLCD1	ENSG00000160606.10	16.110	4.870	1.543	4.12e-47
FLAD1	ENSG00000160688.18	34.291	12.850	1.349	4.75e-73
SHC1	ENSG00000160691.18	58.189	27.290	1.065	5.31e-27
UBE2Q1	ENSG00000160714.9	39.719	15.774	1.279	3.97e-40
FDPS	ENSG00000160752.14	291.630	108.698	1.416	2.85e-38
RUSC1	ENSG00000160753.15	10.760	4.850	1.007	2.44e-33
FAM189B	ENSG00000160767.20	12.530	4.445	1.313	1.79e-47
PMF1	ENSG00000160783.19	61.158	26.235	1.191	2.11e-61
LMNA	ENSG00000160789.19	175.520	45.859	1.913	4.12e-85
PTH1R	ENSG00000160801.13	1.320	23.575	-3.405	1.44e-102
GPATCH4	ENSG00000160818.16	18.181	7.330	1.203	2.74e-34
HK3	ENSG00000160883.10	1.210	4.105	-1.208	1.17e-20
LY6E	ENSG00000160932.10	54.530	259.294	-2.229	6.44e-29
VPS28	ENSG00000160948.13	192.071	76.699	1.313	3.18e-66
RECQL4	ENSG00000160957.12	8.650	1.435	1.987	6.01e-51
SQSTM1	ENSG00000161011.19	460.225	152.900	1.583	1.68e-40
RPL8	ENSG00000161016.15	1876.722	569.775	1.718	6.14e-59
RACGAP1	ENSG00000161800.12	4.610	0.705	1.718	1.73e-50
SPC24	ENSG00000161888.11	5.150	0.330	2.209	5.18e-66
IP6K3	ENSG00000161896.10	0.360	2.394	-1.319	3.14e-9
PAQR4	ENSG00000162073.13	3.820	0.800	1.421	7.08e-32
FLYWCH2	ENSG00000162076.12	14.310	4.850	1.388	1.74e-39
UBXN1	ENSG00000162191.13	75.378	36.076	1.043	4.46e-62
RPL29	ENSG00000162244.10	1049.145	487.919	1.103	1.66e-49
PDZK1IP1	ENSG00000162366.7	15.740	1.505	2.740	1.12e-16
FAM151A	ENSG00000162391.11	0.450	2.274	-1.175	1.09e-5
RBP7	ENSG00000162444.11	17.259	2.635	2.329	3.32e-59
TMEM82	ENSG00000162460.6	5.080	21.110	-1.863	2.33e-21
LAPTM5	ENSG00000162511.7	28.489	13.690	1.005	3.00e-11
RBBP4	ENSG00000162521.18	30.969	14.580	1.037	1.25e-12
KIAA1522	ENSG00000162522.10	11.990	3.850	1.421	4.79e-36
GBP2	ENSG00000162645.12	45.972	15.320	1.525	3.30e-36
IGSF8	ENSG00000162729.13	46.529	21.859	1.056	1.58e-26
PEA15	ENSG00000162734.12	45.819	12.420	1.803	3.81e-58
NCSTN	ENSG00000162736.15	62.552	26.736	1.196	1.96e-34
OLFML2B	ENSG00000162745.10	2.780	0.275	1.568	3.12e-45
FLVCR1	ENSG00000162769.12	3.430	0.705	1.378	3.91e-51
MT2P1	ENSG00000162840.4	0.000	7.110	-3.020	1.10e-64
MRPL55	ENSG00000162910.18	113.739	49.114	1.195	2.74e-56
H3F3A	ENSG00000163041.9	397.496	139.034	1.509	9.56e-73
INHBB	ENSG00000163083.5	10.180	4.304	1.076	1.55e-9
SCNM1	ENSG00000163156.11	33.210	10.825	1.533	9.85e-72
VPS72	ENSG00000163159.11	28.489	8.295	1.666	7.94e-78
S100A11	ENSG00000163191.5	77.321	36.376	1.067	7.15e-13
SPRR3	ENSG00000163209.14	0.000	1.315	-1.211	5.13e-29
S100A9	ENSG00000163220.10	11.290	46.889	-1.962	1.32e-14
S100A12	ENSG00000163221.8	0.190	3.425	-1.895	2.35e-62
PMVK	ENSG00000163344.5	77.262	35.510	1.100	2.50e-58
PBXIP1	ENSG00000163346.16	38.369	13.510	1.440	5.51e-53
PYGO2	ENSG00000163348.3	15.310	6.875	1.050	1.25e-47
TMEM183A	ENSG00000163444.11	27.020	12.510	1.052	5.56e-52
KRTCAP2	ENSG00000163463.11	342.651	102.454	1.732	1.10e-93
SSR2	ENSG00000163479.13	259.267	82.939	1.633	6.01e-67
HDAC11	ENSG00000163517.14	8.490	2.100	1.614	4.48e-54
SERPINI1	ENSG00000163536.12	3.560	0.940	1.233	6.41e-31
RPL22L1	ENSG00000163584.17	61.469	28.814	1.067	3.95e-20
THOC7	ENSG00000163634.11	41.271	19.789	1.024	1.66e-54
GMPS	ENSG00000163655.15	19.410	6.880	1.373	9.06e-52
MTHFD2L	ENSG00000163738.18	3.570	9.690	-1.226	7.44e-37
RPN1	ENSG00000163902.11	160.362	76.362	1.061	9.65e-46
RFC4	ENSG00000163918.10	12.420	3.890	1.457	1.42e-48
RPL39L	ENSG00000163923.9	5.420	1.460	1.384	1.23e-15
TKT	ENSG00000163931.15	113.921	35.770	1.644	3.14e-33
LRPAP1	ENSG00000163956.10	95.259	43.646	1.108	2.91e-40
S100P	ENSG00000163993.6	6.050	2.360	1.069	1.30e-8
H2AFZ	ENSG00000164032.11	99.808	32.785	1.577	4.21e-53
PLXNB1	ENSG00000164050.12	30.890	67.290	-1.099	9.51e-9
TEX264	ENSG00000164081.12	62.651	29.615	1.056	3.68e-67
POC1A	ENSG00000164087.7	4.810	1.720	1.095	4.36e-44
HMGB2	ENSG00000164104.11	34.871	11.520	1.519	1.95e-43
HAND2	ENSG00000164107.8	0.400	5.020	-2.104	1.16e-45
MAD2L1	ENSG00000164109.13	3.900	0.535	1.675	1.61e-47
HPGD	ENSG00000164120.13	14.550	40.456	-1.415	6.59e-12
NPY1R	ENSG00000164128.6	0.400	2.240	-1.211	1.79e-37
HHIP	ENSG00000164161.9	0.060	1.475	-1.223	2.21e-43
NDUFAF2	ENSG00000164182.10	25.060	11.515	1.058	6.33e-43
NDUFS4	ENSG00000164258.11	82.081	38.374	1.077	4.28e-45
SPINK1	ENSG00000164266.10	187.155	23.855	2.920	1.47e-6
ESM1	ENSG00000164283.12	3.220	0.090	1.953	1.59e-52
NSA2	ENSG00000164346.9	56.629	26.857	1.049	7.30e-45
RPS14	ENSG00000164587.11	955.822	419.331	1.187	1.83e-54
PTTG1	ENSG00000164611.12	20.589	0.870	3.529	5.59e-80
KCNK5	ENSG00000164626.8	1.670	4.375	-1.009	3.47e-14
FABP5	ENSG00000164687.10	16.660	2.880	2.186	1.76e-44
RAD21	ENSG00000164754.12	33.499	14.025	1.199	1.17e-29
TMEM184A	ENSG00000164855.15	5.880	13.270	-1.052	3.29e-7
YWHAZ	ENSG00000164924.17	107.380	40.699	1.378	1.29e-36
KIAA1429	ENSG00000164944.11	32.019	13.155	1.222	4.60e-66
KIAA0196	ENSG00000164961.15	15.470	6.095	1.215	2.18e-52
NUDT2	ENSG00000164978.17	20.569	9.420	1.050	1.35e-43
FBP1	ENSG00000165140.9	116.403	296.902	-1.343	4.11e-20
WBSCR27	ENSG00000165171.10	3.280	0.965	1.123	2.17e-25
NDUFB6	ENSG00000165264.10	61.601	29.350	1.044	8.17e-52
MELK	ENSG00000165304.7	2.230	0.100	1.554	1.08e-44
SPTSSA	ENSG00000165389.6	24.609	11.130	1.078	1.28e-21
FOLR2	ENSG00000165457.13	10.760	4.165	1.187	2.82e-9
MBL2	ENSG00000165471.6	12.810	37.715	-1.487	4.36e-18
HEPACAM	ENSG00000165478.6	0.070	1.355	-1.138	2.67e-4
SKA3	ENSG00000165480.15	1.160	0.070	1.013	1.35e-39
KIAA1462	ENSG00000165757.8	3.310	0.520	1.504	9.40e-51
NDRG2	ENSG00000165795.20	83.239	176.349	-1.074	4.03e-23
PRAP1	ENSG00000165828.13	676.102	259.618	1.377	4.48e-5
PSMC3	ENSG00000165916.8	107.507	52.736	1.014	1.17e-59
IFI27L1	ENSG00000165948.10	14.550	4.515	1.495	1.39e-60
IFI27	ENSG00000165949.12	145.209	26.640	2.403	3.73e-19
TPP1	ENSG00000166340.14	67.568	32.470	1.035	2.90e-23
MOGAT2	ENSG00000166391.14	5.550	49.036	-2.933	1.71e-41
RIC3	ENSG00000166405.14	0.070	1.775	-1.375	1.08e-35
WDR72	ENSG00000166415.14	1.770	8.210	-1.733	1.72e-23
TRIM66	ENSG00000166436.15	0.840	3.180	-1.184	1.30e-17
RPL27A	ENSG00000166441.12	1599.050	693.570	1.204	5.94e-51
MFAP4	ENSG00000166482.11	3.460	14.005	-1.750	2.29e-16
MCM7	ENSG00000166508.17	32.919	12.145	1.368	6.89e-41
TMED3	ENSG00000166557.12	20.710	6.700	1.495	1.13e-9
SEC11C	ENSG00000166562.8	180.330	89.390	1.004	4.71e-25
NGFRAP1	ENSG00000166681.13	82.928	34.270	1.251	1.48e-6
NNMT	ENSG00000166741.7	269.342	1779.553	-2.719	8.31e-23
PPIB	ENSG00000166794.4	710.208	316.299	1.164	2.58e-57
KIAA0101	ENSG00000166803.10	9.860	1.510	2.113	9.70e-50
PLIN1	ENSG00000166819.11	1.840	8.990	-1.815	7.43e-29
MESP1	ENSG00000166823.5	3.860	0.960	1.310	6.00e-48
GLYATL1	ENSG00000166840.13	44.609	140.035	-1.629	8.95e-25
PLK1	ENSG00000166851.14	3.770	0.765	1.434	6.79e-36
PDIA3	ENSG00000167004.12	370.671	173.452	1.091	2.37e-44
PHB	ENSG00000167085.11	120.250	54.451	1.129	2.57e-52
SNRPD1	ENSG00000167088.10	42.220	14.700	1.461	1.13e-60
UGT1A6	ENSG00000167165.18	70.370	21.275	1.680	2.54e-5
IGF2	ENSG00000167244.17	10.290	89.750	-3.007	3.53e-10
TBC1D16	ENSG00000167291.15	5.070	1.810	1.111	6.32e-26
RRM1	ENSG00000167325.14	13.680	4.735	1.356	1.14e-46
FN3K	ENSG00000167363.13	54.059	25.804	1.039	7.59e-25
TRAPPC2L	ENSG00000167515.10	54.651	23.875	1.162	1.09e-53
TUBA1A	ENSG00000167552.13	15.450	6.205	1.191	8.89e-18
TUBA1C	ENSG00000167553.14	72.028	27.100	1.378	5.52e-19
GPD1	ENSG00000167588.12	15.390	46.359	-1.531	1.03e-17
LENG8	ENSG00000167615.16	19.070	47.910	-1.285	1.03e-5
YIF1B	ENSG00000167645.16	47.891	22.320	1.068	4.91e-35
HDGFRP2	ENSG00000167674.14	27.739	12.485	1.092	3.29e-62
PLIN4	ENSG00000167676.4	4.270	22.554	-2.160	1.51e-25
SLC43A2	ENSG00000167703.14	4.480	1.570	1.092	9.52e-20
TK1	ENSG00000167900.11	17.250	2.335	2.452	2.99e-58
SRRM2	ENSG00000167978.16	123.442	265.349	-1.098	9.48e-6
FTH1	ENSG00000167996.15	3615.300	1496.627	1.272	3.64e-49
POLR2G	ENSG00000168002.11	53.772	23.625	1.153	1.79e-62
RPSA	ENSG00000168028.13	680.380	312.941	1.118	2.42e-39
SAC3D1	ENSG00000168061.13	13.780	4.470	1.434	1.33e-70
SCARA3	ENSG00000168077.13	3.690	1.065	1.183	2.01e-20
PBK	ENSG00000168078.9	2.100	0.100	1.495	8.04e-41
RAB4A	ENSG00000168118.11	37.219	17.995	1.009	1.56e-41
RNF187	ENSG00000168159.10	55.749	23.695	1.200	3.40e-56
NT5DC2	ENSG00000168268.10	11.390	3.310	1.523	4.62e-26
SMIM4	ENSG00000168273.7	34.900	9.335	1.796	1.83e-59
MFSD2A	ENSG00000168389.17	3.810	77.691	-4.032	5.52e-45
TAP1	ENSG00000168394.10	22.079	9.690	1.110	1.05e-22
STIP1	ENSG00000168439.16	52.570	22.525	1.187	2.85e-33
